Raw_Channel_ID,Platform_ID,obs_std,obs_mean,obs_min,obs_max
1,-1,8.214708551830356,-0.007816872517859445,-54.583263,25.529593
1,0,8.214708551830421,-0.007816872517859456,-54.583263,25.529593
2,-1,6.204024141659925,0.060118015162609874,-54.41878,28.946451
2,0,6.204024141659928,0.060118015162609874,-54.41878,28.946451
3,-1,1.7957874344187403,-0.04797540239732354,-11.155533,14.771423
3,0,1.7957874344187437,-0.047975402397323494,-11.155533,14.771423
4,-1,1.4675865871956242,-0.0006924302620134747,-9.648644,9.285899
4,0,1.4675865871956315,-0.0006924302620134743,-9.648644,9.285899
5,-1,0.8913469566843333,-0.005252729000527411,-5.767573,7.9473076
5,0,0.8913469566843248,-0.005252729000527415,-5.767573,7.9473076
6,-1,0.623793467189813,-0.003225442053726113,-5.3376155,3.5984225
6,0,0.6237934671898061,-0.0032254420537261115,-5.3376155,3.5984225
7,-1,0.39469768069981787,-0.0023120367162287455,-5.812195,7.6763997
7,0,0.39469768069981237,-0.002312036716228743,-5.812195,7.6763997
8,-1,0.33593410156027675,0.005151922195575682,-9.785906,9.08154
8,0,0.33593410156027365,0.005151922195575682,-9.785906,9.08154
9,-1,0.28105098555908775,0.001158328666100196,-3.716396,3.4178336
9,0,0.281050985559087,0.0011583286661001964,-3.716396,3.4178336
10,-1,0.22843497168668764,0.0036994384355875766,-3.6491232,4.755522
10,0,0.22843497168668825,0.003699438435587577,-3.6491232,4.755522
11,-1,0.21192941892048298,-0.0003545486185746004,-13.372186,3.3225749
11,0,0.21192941892048256,-0.0003545486185746005,-13.372186,3.3225749
12,-1,0.1347720053776834,-0.0007126142925684956,-6.045535,2.4844725
12,0,0.13477200537768147,-0.0007126142925684956,-6.045535,2.4844725
13,-1,0.11211111955725256,-0.0005063795610494643,-1.8508754,4.7352424
13,0,0.11211111955725352,-0.000506379561049464,-1.8508754,4.7352424
14,-1,0.11594864230525384,0.002015852397427362,-2.623983,5.3442745
14,0,0.11594864230525545,0.002015852397427362,-2.623983,5.3442745
15,-1,0.11065300843350233,0.0006929825699963552,-2.9404325,3.254625
15,0,0.11065300843350065,0.0006929825699963552,-2.9404325,3.254625
16,-1,0.11059560698104977,0.00025496963146238625,-5.1120696,1.139813
16,0,0.11059560698104766,0.0002549696314623864,-5.1120696,1.139813
17,-1,0.10827448760995192,-0.0008072181292068404,-11.610527,1.4685344
17,0,0.1082744876099539,-0.0008072181292068405,-11.610527,1.4685344
18,-1,0.10103222698655831,-0.001441306732794491,-3.8353717,4.2164545
18,0,0.10103222698655692,-0.0014413067327944903,-3.8353717,4.2164545
19,-1,0.10147859528906694,-0.0006220671585844798,-2.781216,3.3901258
19,0,0.10147859528906512,-0.0006220671585844798,-2.781216,3.3901258
20,-1,0.10368942955363945,-0.00020344373144167612,-1.5792689,8.15311
20,0,0.10368942955363931,-0.00020344373144167606,-1.5792689,8.15311
21,-1,0.10095808472137889,-0.00023500744504603737,-1.6666156,1.577552
21,0,0.10095808472137917,-0.00023500744504603707,-1.6666156,1.577552
22,-1,0.10052316918429405,-3.0905465844828725e-05,-1.1307209,9.927661
22,0,0.1005231691842936,-3.090546584482874e-05,-1.1307209,9.927661
23,-1,0.09880220102875298,0.00047988024789517484,-0.9339404,6.719097
23,0,0.0988022010287523,0.00047988024789517495,-0.9339404,6.719097
24,-1,0.08934753826574814,0.0005772402600992258,-10.382512,1.9781011
24,0,0.0893475382657479,0.0005772402600992256,-10.382512,1.9781011
25,-1,0.08806596592232664,-0.001283645375872585,-5.6984606,2.2212803
25,0,0.08806596592232749,-0.001283645375872586,-5.6984606,2.2212803
26,-1,0.08731936349619145,-0.0006102947848890263,-1.3738391,7.589438
26,0,0.08731936349619131,-0.0006102947848890257,-1.3738391,7.589438
27,-1,0.08717698513915002,-0.0005823197553379738,-2.9844427,1.3560678
27,0,0.087176985139149,-0.0005823197553379737,-2.9844427,1.3560678
28,-1,0.08492734980919361,-0.00038831001660858896,-2.6943138,1.0411136
28,0,0.08492734980919496,-0.0003883100166085897,-2.6943138,1.0411136
29,-1,0.08305636257870289,-0.00016189496049658577,-9.235278,2.5213282
29,0,0.08305636257870143,-0.0001618949604965858,-9.235278,2.5213282
30,-1,0.08194517117431961,-0.00030206228476307577,-1.3414413,1.4573736
30,0,0.08194517117432089,-0.0003020622847630757,-1.3414413,1.4573736
31,-1,0.0812069714976724,-8.516453259253043e-05,-0.6720387,7.2829967
31,0,0.08120697149767325,-8.516453259253042e-05,-0.6720387,7.2829967
32,-1,0.08075419401644526,-0.0008985027944582864,-11.253723,0.53134376
32,0,0.08075419401644411,-0.0008985027944582865,-11.253723,0.53134376
